,id,player_total,dealer_card_up,double_ev,hit_ev,stand_ev,split_ev,best_action,dealer_hit_soft_17,double_after_split,blackjack_pays,surrender_allowed
0,1,20,2,-1.7094620946209462,-0.8547310473104731,0.6336838368383684,,stand,True,True,1.2,True
1,2,20,3,-1.7072670726707266,-0.8536335363353633,0.6438089380893809,,stand,True,True,1.2,True
2,3,20,4,-1.710662106621066,-0.855331053310533,0.6534490344903449,,stand,True,True,1.2,True
3,4,20,5,-1.7066270662706626,-0.8533135331353313,0.6696816968169682,,stand,True,True,1.2,True
4,5,20,6,-1.7085170851708518,-0.8542585425854259,0.6777742777427774,,stand,True,True,1.2,True
5,6,20,7,-1.702492024920249,-0.8512460124601245,0.7733352333523336,,stand,True,True,1.2,True
6,7,20,8,-1.6995369953699535,-0.8497684976849769,0.7912004120041201,,stand,True,True,1.2,True
7,8,20,9,-1.699606996069961,-0.8498034980349803,0.7553950539505395,,stand,True,True,1.2,True
8,9,20,10,-1.7170371703717038,-0.8585185851858519,0.4381168811688117,,stand,True,True,1.2,True
9,10,20,11,-1.8025830258302584,-0.9012915129151292,0.1117761177611776,,stand,True,True,1.2,True
10,11,19,2,-1.5088275882758828,-0.7313273132731327,0.3773787737877379,,stand,True,True,1.2,True
11,12,19,3,-1.5091725917259171,-0.7283272832728327,0.3998489984899849,,stand,True,True,1.2,True
12,13,19,4,-1.5062350623506235,-0.7278172781727817,0.4158166581665816,,stand,True,True,1.2,True
13,14,19,5,-1.5046550465504656,-0.7267147671476715,0.4366593665936659,,stand,True,True,1.2,True
14,15,19,6,-1.5003925039250392,-0.7236022360223602,0.4531170311703117,,stand,True,True,1.2,True
15,16,19,7,-1.489309893098931,-0.7156471564715647,0.6173036730367304,,stand,True,True,1.2,True
16,17,19,8,-1.4837923379233793,-0.7129196291962919,0.5942884428844288,,stand,True,True,1.2,True
17,18,19,9,-1.4892048920489205,-0.7145771457714577,0.2864053640536405,,stand,True,True,1.2,True
18,19,19,10,-1.3853388533885338,-0.6725867258672587,0.05830058300583,,stand,True,True,1.2,True
19,20,19,11,-1.0420054200542006,-0.5060150601506015,0.1306163061630616,,stand,True,True,1.2,True
20,21,18,2,-1.3213682136821367,-0.6229012290122902,0.1126586265862658,,stand,True,True,1.2,True
21,22,18,3,-1.3227507275072752,-0.6185361853618536,0.1360588605886059,,stand,True,True,1.2,True
22,23,18,4,-1.321370713707137,-0.6195061950619506,0.1653441534415344,,stand,True,True,1.2,True
23,24,18,5,-1.3149956499564996,-0.6170711707117071,0.1931619316193162,,stand,True,True,1.2,True
24,25,18,6,-1.31550065500655,-0.6133736337363374,0.2231322313223132,,stand,True,True,1.2,True
25,26,18,7,-1.2928154281542816,-0.5897408974089741,0.4000990009900099,,stand,True,True,1.2,True
26,27,18,8,-1.2849903499034991,-0.5899858998589986,0.1070010700107001,,stand,True,True,1.2,True
27,28,18,9,-1.3126931269312694,-0.6186386863868639,-0.1805018050180502,,stand,True,True,1.2,True
28,29,18,10,-1.2382948829488294,-0.5977309773097731,-0.1643241432414324,,stand,True,True,1.2,True
29,30,18,11,-0.930119301193012,-0.4418019180191802,-0.1552715527155271,,stand,True,True,1.2,True
30,31,17,2,-1.1606566065660655,-0.5364753647536475,-0.1574615746157461,,stand,True,True,1.2,True
31,32,17,3,-1.161759117591176,-0.5347978479784797,-0.1214512145121451,,stand,True,True,1.2,True
32,33,17,4,-1.1541565415654156,-0.5299927999279993,-0.0835758357583575,,stand,True,True,1.2,True
33,34,17,5,-1.1504340043400434,-0.5244277442774428,-0.047360473604736,,stand,True,True,1.2,True
34,35,17,6,-1.142551425514255,-0.5207977079770798,-0.0043675436754367,,stand,True,True,1.2,True
35,36,17,7,-1.1013110131101311,-0.4837873378733787,-0.1069110691106911,,stand,True,True,1.2,True
36,37,17,8,-1.1252537525375257,-0.505280052800528,-0.3838238382383824,,stand,True,True,1.2,True
37,38,17,9,-1.1738342383423834,-0.5543630436304363,-0.4212392123921239,,stand,True,True,1.2,True
38,39,17,10,-1.1125861258612586,-0.5414679146791468,-0.3853238532385324,,stand,True,True,1.2,True
39,40,17,11,-0.8304858048580486,-0.4030515305153052,-0.3557535575355753,,stand,True,True,1.2,True
40,41,16,2,-1.025857758577586,-0.4737622376223762,-0.2885928859288593,,stand,True,True,1.2,True
41,42,16,3,-1.0144126441264412,-0.4639346393463934,-0.2463524635246352,,stand,True,True,1.2,True
42,43,16,4,-1.005460054600546,-0.4617271172711727,-0.2060670606706067,,stand,True,True,1.2,True
43,44,16,5,-0.9924974249742498,-0.4510520105201052,-0.1637166371663716,,stand,True,True,1.2,True
44,45,16,6,-0.982689826898269,-0.4412919129191291,-0.1214962149621496,,stand,True,True,1.2,True
45,46,16,7,-0.9567470674706748,-0.4132041320413204,-0.4756797567975679,,hit,True,True,1.2,True
46,47,16,8,-1.0003350033500336,-0.4603671036710367,-0.51060010600106,,hit,True,True,1.2,True
47,48,16,9,-1.05259802598026,-0.5080525805258053,-0.541130411304113,,hit,True,True,1.2,True
48,49,16,10,-0.9967474674746748,-0.496809968099681,-0.4974249742497425,,hit,True,True,1.2,True
49,50,16,11,-0.752550025500255,-0.3745062450624506,-0.4133341333413334,,hit,True,True,1.2,True
50,51,15,2,-0.8855463554635546,-0.4176941769417694,-0.2862028620286203,,stand,True,True,1.2,True
51,52,15,3,-0.8787962879628797,-0.4084015840158401,-0.2446524465244652,,stand,True,True,1.2,True
52,53,15,4,-0.8654736547365474,-0.3972414724147241,-0.2082320823208232,,stand,True,True,1.2,True
53,54,15,5,-0.8562885628856288,-0.3864988649886499,-0.1657216572165721,,stand,True,True,1.2,True
54,55,15,6,-0.8429659296592966,-0.3743912439124391,-0.1196861968619686,,stand,True,True,1.2,True
55,56,15,7,-0.8358133581335814,-0.3673961739617396,-0.4760847608476085,,hit,True,True,1.2,True
56,57,15,8,-0.8820913209132092,-0.4150741507415074,-0.5103151031510315,,hit,True,True,1.2,True
57,58,15,9,-0.93239932399324,-0.4704647046470465,-0.5407354073540735,,hit,True,True,1.2,True
58,59,15,10,-0.8956439564395644,-0.4649371493714937,-0.50050000500005,,hit,True,True,1.2,True
59,60,15,11,-0.6760492604926049,-0.3513460134601346,-0.4132041320413204,,hit,True,True,1.2,True
60,61,14,2,-0.759340093400934,-0.3636261362613626,-0.2864328643286433,,stand,True,True,1.2,True
61,62,14,3,-0.7463024630246302,-0.3476609766097661,-0.2432074320743207,,stand,True,True,1.2,True
62,63,14,4,-0.7247697476974769,-0.3346233462334623,-0.2069820698206982,,stand,True,True,1.2,True
63,64,14,5,-0.7129371293712937,-0.3201882018820188,-0.1654516545165451,,stand,True,True,1.2,True
64,65,14,6,-0.699719497194972,-0.3042480424804248,-0.1213512135121351,,stand,True,True,1.2,True
65,66,14,7,-0.711029610296103,-0.3187306873068731,-0.4765997659976599,,hit,True,True,1.2,True
66,67,14,8,-0.765680156801568,-0.3716912169121691,-0.5093650936509365,,hit,True,True,1.2,True
67,68,14,9,-0.8197856978569785,-0.4321093210932109,-0.5409604096040961,,hit,True,True,1.2,True
68,69,14,10,-0.7878128781287813,-0.4295692956929569,-0.4961824618246182,,hit,True,True,1.2,True
69,70,14,11,-0.5954334543345433,-0.3256582565825658,-0.4128716287162872,,hit,True,True,1.2,True
70,71,13,2,-0.6255487554875548,-0.31020060200602,-0.2850228502285022,,stand,True,True,1.2,True
71,72,13,3,-0.6091710917109171,-0.2896253962539625,-0.2447624476244762,,stand,True,True,1.2,True
72,73,13,4,-0.5874983749837498,-0.27370023700237,-0.2068970689706897,,stand,True,True,1.2,True
73,74,13,5,-0.5731882318823188,-0.2581675816758167,-0.1634666346663466,,stand,True,True,1.2,True
74,75,13,6,-0.5532430324303244,-0.2396823968239682,-0.1201462014620146,,stand,True,True,1.2,True
75,76,13,7,-0.5769107691076911,-0.2689951899518995,-0.4765047650476505,,hit,True,True,1.2,True
76,77,13,8,-0.6376413764137642,-0.3241057410574106,-0.511070110701107,,hit,True,True,1.2,True
77,78,13,9,-0.700389503895039,-0.3892438924389244,-0.5412354123541235,,hit,True,True,1.2,True
78,79,13,10,-0.6786517865178652,-0.3936964369643696,-0.49789997899979,,hit,True,True,1.2,True
79,80,13,11,-0.5144376443764438,-0.2979154791547915,-0.4134941349413494,,hit,True,True,1.2,True
80,81,12,2,-0.491449914499145,-0.2508775087750877,-0.2866078660786608,,hit,True,True,1.2,True
81,82,12,3,-0.4709997099970999,-0.2309748097480974,-0.2465074650746507,,hit,True,True,1.2,True
82,83,12,4,-0.4497544975449754,-0.2129646296462964,-0.2056070560705607,,stand,True,True,1.2,True
83,84,12,5,-0.4298892988929889,-0.1921369213692137,-0.1641266412664126,,stand,True,True,1.2,True
84,85,12,6,-0.4123741237412374,-0.1697891978919789,-0.1219162191621916,,stand,True,True,1.2,True
85,86,12,7,-0.4467819678196782,-0.2125471254712547,-0.4756947569475694,,hit,True,True,1.2,True
86,87,12,8,-0.5055050550505505,-0.2706477064770647,-0.5108851088510885,,hit,True,True,1.2,True
87,88,12,9,-0.5759432594325943,-0.3393108931089311,-0.5448654486544865,,hit,True,True,1.2,True
88,89,12,10,-0.5699356993569936,-0.3518110181101811,-0.4999149991499915,,hit,True,True,1.2,True
89,90,12,11,-0.4298942989429894,-0.2653176531765318,-0.4124641246412464,,hit,True,True,1.2,True
90,91,11,2,0.5066250662506625,0.2405074050740507,-0.2869978699786998,,double,True,True,1.2,True
91,92,11,3,0.5325478254782547,0.2608351083510835,-0.2454624546245462,,double,True,True,1.2,True
92,93,11,4,0.554980549805498,0.2835253352533525,-0.2053220532205322,,double,True,True,1.2,True
93,94,11,5,0.5850008500085001,0.3113806138061381,-0.1655416554165541,,double,True,True,1.2,True
94,95,11,6,0.6075935759357594,0.333550835508355,-0.1232112321123211,,double,True,True,1.2,True
